Question,Equation,Type
Martha invited number0 friends to the party.She has number1 biscuits.How many biscuits will each friend get?,/ number1 number0,General
"Faye has number0 color books.If she gave number1 of them, but I bought number2 more, how much is she in total?",- + number0 number2 number1,General
"number0 mobile phones are planned to cost $ number1 per month.The first number2 minutes for use are free.It cost $ number3 every minute since then.The bill is $ number4, how many minutes do you use for number5 minutes?",/ - number4 number1 number3,General
How long will Heat ride a bicycle at a speed of number1 kilometers per hour?,/ number0 number1,General
Eugene has number0 pencils.He got number1 from Joyce.How many pencils do Eugene have?,+ number0 number1,General
James has number0 stickers.His birthday has more stickers.Then he had number1 stickers.How many stickers are there on James's birthday?,- number1 number0,General
There are number0 boys and some girls on the playground.There are number1 children in total.How many girls are there on the playground?,- number1 number0,General
"Dan joined the school's band.He bought the clarinet at $ number0, a song of $ number1.Dan found $ number2 in his pocket.How much does Dan spend in the music store?",+ number0 number1,General
Ryan (Ryan) has number0 marbles and number1 blocks.How many marble would each friend get a marble among number2 friends?,/ number0 number2,General
Mrs .Sheridan has number0 cats.There are still a few cats in the wife.Does Sheriden need number1 cats?,- number1 number0,General
Martha started from number0 cards.She won number1 from Emily.How many cards did Martha finish?,+ number0 number1,General
"John has number0 socks.If he threw away number1 inappropriate elderly people and bought number2 new ones, how many socks would he have?",- + number0 number2 number1,General
"Last year, egg producers in Douglas County produced number0 eggs.This year, those farms have number1 eggs.How many eggs do these farms produce this year?",- number1 number0,General
"Mark has number0 trees in his backyard.If he grows number1 more, how many trees will he have?",+ number0 number1,General
"Roger has number0 books.If he sold number1 of them and bought number2 new books with the money he made, how many books Roger has?",- + number0 number2 number1,General
The total number of students who lack B.Jones number0 Monday number0 after snowfall.The overall departure rate that day was number1.How many students have participated in B.Jones High School?,+ number0 number1,General
"Molly (Molly) has WAFTING PIE Company.This morning, her employees baked pumpkin with number0 eggs.If her employees used a total of number1 eggs today, how many eggs did they use in the afternoon?",- number1 number0,General
Allen went to a garage to sell a chair.Each chair is $ number0.How much did Allen buy six chairs she bought?,* number0 number1,General
"Grace's pockets have number0 fudge.She has number1 red, number2 green and number3 blue.What is the number of jelly that she must take from her pocket?",+ + number1 number2 1.0,General
"Tom has $ number0.If he spent $ number1 in a new game, can he buy the remaining $ number2 toys with the rest?",/ - number0 number1 number2,General
"Rachel is organizing her book to ensure that there are number0 books on each shelves.If she has number1 secret books and number2 bookshelves, how many books do she have?",* number0 + number1 number2,General
"When playing trivial games, George answered number0 questions in the first half. The number1 questions correctly in the second half were correct.If each problem is worth number2 points, what is his final result?",* number2 + number0 number1,General
Dan bought number0 two -do eggs from the grocery store to bake some cakes.How many eggs did Dan bought?,* number0 12.0,General
"Haley's favorite band held a concert with a ticket of $ number0 per ticket.Haley bought number1 tickets for herself and her friends, and number2 additional tickets to prevent others from wanting to go.How much did she spend?",* number0 + number1 number2,General
"White T-shirts can be purchased with number0 packs.If the mother buys number1 parcels, how many white T-shirts will the mother have?",* number0 number1,General
"Melanie, Benny, Sally and Jessica have number0 baseball cards, respectively.How many baseball cards do they have?",* 4.0 number0,General
"She counted a crayon and found that she had number0 crayons, and she would put it in a crayon box.Each box can contain number1 crayons.How many boxes do she need?",/ number0 number1,General
"The price of a book is number0 %.If the conventional price is $ number1, what is the sales price?",* - 1.0 * number0 0.01 number1,General
Jason found number0 shells and number1 starfish on the beach.He gave number2 shells to Tim.How many shells are Jason now?,- number0 number2,General
"After dining in the restaurant, Sali, Sam and Arisa decided to distribute the bill average.If each person pays $ number0, what is the total amount of the bill?",* number0 3.0,General
Roadster's paving company paved Lexi's streets and number1 -ton cement on Pave TESS with number0 tons of cement.How much cement did the Roadster paving companies used?,+ number0 number1,General
April discount flowers are sold for $ number0 per flower.How much did she spend if Maria bought number1 roses and number2 daisies?,* number0 + number1 number2,General
"For school baking sales, Maria made number0 paper cup cakes.If she sells number1 and then seven, how many paper cups will she have?",- + number0 number2 number1,General
"Sam saved $ number0.If he gets a subsidy of $ number1, how many $ number2 can he buy?",/ + number0 number1 number2,General
Arthur roast number0 muffins.James grilled number1 times.How many muffins did James bake?,* number0 number1,General
"There are currently number0 kinds of orchids and number1 orange trees in the park.Park workers will plant number2 orchid shrubs today.After the workers complete the workers, how many orchid shrubs will the park?",+ number0 number2,General
"For school baking sales, Chloe made number0 paper cup cakes.If she sells number1 and then seven, how many paper cups will she have?",- + number0 number2 number1,General
Nicholas starts with number0 bottle caps.He got number1 from Catherine.How many bottle caps did Nicholas end?,+ number0 number1,General
"There are number0 pounds of shells in Jovana's bucket.She added some shells, and now there are number1 pounds of shells.How many pounds did she add?",- number1 number0,General
There are number0 punching routes in the candy bar.How many calories are of the number1 candy sticks?,* * number0 12.0 number1,General
Tim found number0 shells and number1 stars on the beach.He gave number2 of them to Sara.How many shells are there in Tim now?,- number0 number2,General
"Katie (Katie) has number0 pages of mathematics assignments and number1 pages of reading homework.If there are number2 questions on each page, how many problems do she have to do?",* number2 + number0 number1,General
"A restaurant made number0 hamburgers and number1 hot dogs at lunch.In fact, only number2 hamburgers are provided.How many burgers are over?",- number0 number2,General
"Adam made $ number0 for each lawn that he trimmed for him.If he has number1 lawn to cut, but forgot to cut the number2 of them, how much does he actually make?",* number0 - number1 number2,General
Joan saved number0 quarters from the car washing.How much money does Qiong have?,* number0 25.0,General
The furniture store is marked with number0 % of items.The furniture store purchases the sofa at a price of $ number1. What is the price of selling at a price of US dollars?,+ number1 * * number0 number1 0.01,General
Sarah has number0 bottle caps.She buys number1 more.How many bottle caps are there in Sarara?,+ number0 number1,General
"On the beach, Miki and her sister both built sand castles and then measured their height.Miki's Sandcastle is number0 feet tall and her sister is number1 feet tall.How much is Miki's sandburg more than her sister?",- number0 number1,General
Shelier started from number0 shoes.Catherine gave Sien number1 again.How many shoes did Cheryl finish?,+ number0 number1,General
"Before school, Sam had to wash number0 short -sleeved shirts and number1 long -sleeved shirts.If he only washed the number2 of them at the beginning of the school, he didn't have much money?",- + number0 number1 number2,General
"Albert's cabbage patch has number0 rows of cabbage.In each line, there are number1 cabbage.How many cabbage do Albert have?",* number0 number1,General
There are number0 oranges in a box.Paula (Paula) take number1 oranges.how much is left?,- number0 number1,General
The house purchased at $ number0 depreciates number1 % during one year.What is the value of the house after the US dollar at the end of the year?,- number0 * * number0 number1 0.01,General
"Kaleb bought number0 boxes of chocolate candy and gave his brother number1 boxes.If there are number2 in each box, how many pieces are there in Kaleb?",* number2 - number0 number1,General
"Kristi (Kristi) jogged for number0 hours, swims for number1 hours, and then rode a bicycle for number2 hours.How long did she exercise?",+ + number0 number1 number2,General
"Stephanie went to the store number0 times last month.Every time she goes to the store, she will buy number1 oranges.How many oranges did Stephani buy last month?",* number0 number1,General
Darius drove number0 miles to visit his grandmother.Julia drove number1 miles to visit her grandmother.What is the total number of miles drove by Darius and Julia?,+ number0 number1,General
"Bianca's team won the dodge game and scored a total of number0 points.If Bianca scores number1 points and each other scores number2 points, how many players do she have in her team?",/ - number0 number1 number2,General
Kate has number0 pence.John has number1 pence.How much do John have?,- number1 number0,General
"Henry made $ number0 for each lawn that he trimmed for him.If he has number1 lawn to cut, but forgot to cut the number2 of them, how much does he actually make?",* number0 - number1 number2,General
"On the arcade, Jerry won number0 tickets to play ""What Mole"" and number1 tickets ""SKEE Ball"".If he spent number2 tickets on the hat, how many tickets did Jerry leave?",- + number0 number1 number2,General
"Mary, Sam, Keith, and Alice have number0 baseball cards.How many baseball cards do they have?",* 4.0 number0,General
Bobby ate number0 pieces of candy.Then he ate number1 more.How many pieces did Bobe eat?,+ number0 number1,General
Mary started from number0 eras..She lost number1.How much rubber ended Mary?,- number0 number1,General
"During the arcade competition, Frank won number0 tickets to play ""WHACK A rats"" and number1 tickets to play ""Skee Ball"".If he tries to buy number2 votes per fare, how many can he buy?",/ + number0 number1 number2,General
"I need to figure out how to obtain the amount from the phone bill sent to Boston on June number0.The rate of the first minute is number1, the extra minute rate is number2, and the total minute is number3.What is the bill?",+ number1 * number2 - number3 1.0,General
Julia (Julia) played labels with number0 children on Monday.She label with number1 children on Tuesday.How many children did she play completely?,+ number0 number1,Addition
Jovana filled her bucket with a number0 -pound shell.How many pounds does she have if she adds number1 pounds of shells to fill her bucket?,+ number0 number1,Addition
Isabella's hair is number0 cube long hair.How long will it be if her hair is number1 inches long?,+ number0 number1,Addition
"number0 children ride on the bus.At bus stops, more children get on the car.There are then number1 children in the bus.How many children get on the bus station?",- number1 number0,Subtraction
Elephant has number0 peanuts.She ate number1.How many peanuts are there in elephants?,- number0 number1,Subtraction
Tommy has some balloons.His mother gave him a number0th balloon birthday.Then Tommy had number1 balloon.How many balloon must Tommy start?,- number1 number0,Subtraction
Alex has some candles for his Jack O'LANTERNS.He used number0.Now there are number1 left.How many candles must Alex start?,+ number0 number1,Addition
Finn has number0 goldfish.number1 Goldfish died.How many fish are left?,- number0 number1,Subtraction
Jane has number0 pieces of old brown paper and number1 pieces of old yellow painting paper.How many drawing paper does she have?,+ number0 number1,Addition
Paco has number0 biscuits.He ate number1.How many biscuits did Paco leave?,- number0 number1,Subtraction
Rosa has number0 flowers.Andre gave her more flowers.Rosa now has number1 flowers.How many flowers have Andre to Rosa?,- number1 number0,Subtraction
"Lucy put number0 shells in her bucket.She found more shells, and now there are number1 shells.How much did she find?",- number1 number0,Subtraction
Mrs .There are number0 marbles.She lost number1.How many marbles she left?,- number0 number1,Subtraction
"Mrs .See number0 butterflies.Some butterflies are red and others are orange.If number1 of them are orange, how many of them are red?",- number0 number1,Subtraction
Madam on Tuesday.Hilder saw number0 raisins on a tray of a buffet restaurant.It was number1 more than her raisins the day before.How many raisins are there on Monday table?,- number0 number1,Subtraction
Mrs .Hilder saw number0 snakes number1 crocodile number2 frogs and number3 bears.The wife has several reptiles.Do you see the knife handle?,+ number0 number1,Addition
Mark has number0 trees in his backyard.What if he grows number1 trees?,+ number0 number1,Addition
"Gino has number0 brown bears, number1 white bears and number2 black bears.How many bears are Jino?",+ + number0 number1 number2,Sum
Morgan has number0 red pens and number1 blue pen and number2 black pen.How many pens she has?,+ + number0 number1 number2,Sum
Bryan (Bryan) has number0 SKITTLES.Ben has number1 m & m's.How many other Brian?,- number0 number1,Subtraction
"When building a house, Charlie noticed that their nails were exhausted, so he told his father that he wanted to buy some.If they still have number0 nails, and Charlie purchased number1 boxes of nails, the nails equipped with number3 nails and small nails containing number5 nails?",+ + number0 number5 number3,Sum
The tree house is almost complete.What they need is painting.His father estimates that they will use number0 ounces of white paint number1 ounces of green paint and number2 ounces of brown paint.How many ounces can they buy in total?,+ + number0 number1 number2,Sum
"After finishing the tree house, Charlie's mother provided them with fresh baked biscuits.If Charlie ate number0 biscuits, his father ate number1, his mother only ate number2 biscuits, and how many biscuits did they eat?",+ + number0 number1 number2,Sum
"Annie will celebrate her birthday next week, so her friends decided to hold a surprise birthday party for her.Jessica Annie's best friend is hosting a party.She plans to make pizza for everyone.If she bought number0 pieces of Italian sausage number1 slices and number2 bacon as a meat component, how many pieces did she buy?",+ + number0 number1 number2,Sum
Another friend of Andrew Annie was assigned to prepare appetizers.He decided to bring number0 hot dogs to number1 bite -sized cheese and number2 pieces of chicken nuggets.How many parts of Andrew has brought appetizers?,+ + number0 number1 number2,Sum
"Annie's mother was also asked to be a part of surprise.Her task is to be responsible for drinks.She made number0 cups of orange juice, number1 cups of grape juice and number2 cups of apple juice.How many glass of juice will there be?",+ + number0 number1 number2,Sum
"On Annie's birthday, almost everyone in her class surprised her.If Annie has number0 female classmates, there are seven boys and number2 teachers in her class attended her birthday party?",+ + number0 number1 number2,Sum
"The group continued to check the houses of Broadway Street and horrible Werewolf Avenue.After walking a long walk, they decided to count their candy again.If Mary has number0 kinds of chewing gum, SAM has number1 kinds of chewing glue, and SUE's gums have number2 kinds of chewing gums. How many chewing gums do these number3 gums have?",+ + number0 number1 number2,Sum
"Then, friends went to the rest of their villages.But Sam had to go home earlier.She got a lot of candy, including number0 kinds of chewing glue number1 chocolate rods and number2 kinds of fruit candy.How many candy does she have?",+ + number0 number1 number2,Sum
"After Sam and Bob left Mary John and Su, they decided to go home.They calculated the total amount of number0 snacks.They can break down number1 kinds of chewing gums and number2 kinds of chocolate rods and eight other flavors of candy.How many snacks do Mary John and SuE have?",+ + number1 number2 number3,Sum
This is the time of Easter. Children near Istwell are very excited about the annual Easter egg hunting.Parents decided to hide eggs in many different places.They hidden number0 eggs around the number1 eggs around the village park and number2 eggs in the city hall garden.How many eggs are there in total?,+ + number0 number1 number2,Sum
"The best Easter egg hunter in Joe number0 found number1 eggs around number2 eggs around the park, and number3 eggs were found in the city hall garden.How many eggs do Joe found?",+ + number1 number2 number3,Sum
"The remaining children in the town have number0 eggs around the number1 eggs around the club house, and there are number2 eggs in the city hall garden.How many eggs will we get if we add all eggs?",+ + number0 number2 number1,Sum
"If all participants found a total of number0 eggs from the number1 eggs in the park, and found number2 eggs from the city hall, how many Easter eggs were found that day?",+ + number0 number1 number2,Sum
"Penny's class will travel to animals and the largest zoo on the earth for scientific wild travel.The zoo was imprisoned with a variety of wild animals.Their first destination was the Bird House.On that day, there were number0 kinds of eagles.They have number1 bald eagles and number2 eagle eagles and number3 Crown Eagles.How many eagles exhibited that day?",+ + number1 number2 number3,Sum
After the Swarm of the Bird House is the swamp of the zoo.Penny calculates a total of number0 tree frogs number1 poisonous frogs and number2 wooden frogs.How many frogs can you count for a penny?,+ + number0 number1 number2,Sum
"In addition to frogs, the swamp area is also the home of some dangerous animals.Penny's teacher pointed out number0 crocodile number1 crocodiles and number2 poisonous snakes.How many dangerous animals have the teacher pointed out?",+ + number0 number1 number2,Sum
"The next one is the insect bank of hundreds of insect species.The bamboo Enn, who likes butterflies and ants to take pictures of different species.She can capture number0 kinds of butterflies, number1 ants and number2 other insects.How many insects have been captured by a penny?",+ + number0 number1 number2,Sum
The last stop they inspected was the aquarium.Penny has determined number0 kinds of shark eels and number2 different types of whales.How much can a penny be recognized?,+ + number0 number1 number2,Sum
"Marcus and his friends are starting a recycling project to help school raise some funds for charity.Their task is to collect different materials and collect useful things from them.If Marcus can collect number0 milk bottles, and John can collect number1 milk bottles, how many milk bottles can they recover?",+ number1 number0,Addition
"Chris is responsible for leading newspaper collections from number0 newspapers from nearby.If his sister Lily helped him and could get number1 other newspapers from another block, how many newspapers can they collect together?",+ number0 number1,Addition
"Another part of the Andy Recycling Group determines that he will collect tin foil packaging paper.If he can get number0 packaging paper around the rural trash can, and his best friend Max can collect number1 packaging paper, how much packaging has been collected in total?",+ number0 number1,Addition
"After collecting materials, they started producing recyclable products during the school's recycling expo.If Marcus made number0 pens holders with milk bottles, and Anne could make number1 strokes?",+ number0 number1,Addition
"If the group can make number0 kinds of regenerative materials from the content they collected and the teacher can make number1 recycling products, can they sell it at the expo?",+ number0 number1,Addition
"Robyn and Lucy are members of their village scouts.On weekends and working days, they went around the nearby biscuits.They ended for a month, and they are trying their best to get badge from selling biscuits.Robyn (Robyn) sold number0 packets of biscuits, and Lucy sold number1 biscuits. How many bags can they sell that day?",+ number0 number1,Addition
"Because of the upcoming test, Robyn will not be able to sell biscuits on Tuesday.To make up for this, Lucy decided to double the work.She sold number0 biscuits in the first round and sold number1 in the second round.How many biscuits did Lucy sell?",+ number0 number1,Addition
"Robyn is still a bit backward, asking her mother to drive them to the town on Wednesday to cover more houses.That day, Robyn sold number0 packets of biscuits, and Lucy sold number1 packets?",+ number0 number1,Addition
"With the end of the month, they decided to sell the biscuits to the nearby villages.If they sold number1 packs in number2 villages, how many biscuits did they sell in other villages?",+ number1 number3,Addition
"On the day of the awards ceremony, Robyn and Lucy decided to sell more biscuits in the morning to ensure that they won the badge.Lucy sold number0 packs, how many packages did Robin sell for number1?",+ number0 number1,Addition
Its earth consciousness day and plant town are celebrating trees in areas damaged forests.The mayor of Flurora donated number0 kinds of oak seedlings and number1 Holy seedlings.How many seedlings did he donate?,+ number0 number1,Addition
"gentlemen .Fortree A merchant also provides seedlings for tree planting activities.If he gave number0 kinds of cedar seedlings and number1 pine seedlings, how many seedlings did he give?",+ number0 number1,Addition
Students from Flora Middle School were asked to participate in the event.They planted number0 apple trees and number1 orange trees in the forest near the school.How many trees have been planted by students?,+ number0 number1,Addition
The wanderers of Floral Natural Park and Wildlife Reserve also participated in the activities of the day.They planted number0 mahogany trees and number1 cypress trees to replace the trees that have been destroyed in the forest fire recently.How many trees did you type?,+ number1 number0,Addition
"Professor tree head of Flora University asked his students to participate.He said that they planted number0 kinds of trees in the natural parks nearby, and number2 kinds of trees were planted around the town.How many trees do students grow?",+ + number0 number2 number1,Sum
"Hazel trees and her father like to go fishing.This year, they plan to bypass Great Lake to obtain a unique fishing experience.Their first stop is Lake Ontario.Hazel trees and her father decided to play between them.If Hazel caught number0 salty flavors, and her father caught number1 Salmon, how many times did they capture?",+ number0 number1,Addition
"Their next destination is Lake Yili.Still participating in the competition, hazel trees caught number0 different fish, and how many fish did his father catch number1 columns in Lake Illi?",+ number0 number1,Addition
"In the next week, they decided to go to Lake Houlun and Lake Michigan.During their stay, they captured a total of number0 Pikes number1 ST fish and number2 catfish.How many fish did they capture from number3 lakes?",+ + number0 number1 number2,Sum
"Related to the ecology of Lake Lake, her father returned the juveniles they captured.If they have taken number0 fish from Lake Ontario and Lake Illi from Lake Houlun and Michigan, and number2 fish from Lake Sublier, how many fish will they bring home?",+ + number0 number1 number2,Sum
"This was the first day of a new school, and he felt very nervous.His day began in some bacon and eggs prepared by his mother.After dinner, the partner went out and took a school bus from the recent bus station.Including friends, number0 students got on the bus during the first stop.If more and more students get on the bus on the second stop, how many students are riding a bus?",+ number0 number1,Addition
"After arriving at the school, his partner immediately went to his teacher, where he was introduced to all third -year students in the school.There are number0 female students and number1 boys.How many third -year students did buddy meet at school?",+ number0 number1,Addition
"After vacation, my friend changed his clothes in the fitness class.In the gymnasium, all students are divided into number0 groups.If there are number2 members in the number1 groups, and number3 students have number3 students in Buddy's physical education class?",+ number2 number3,Addition
"After the last bell, his friend ran to the school bus with his new friend.When he returned home, he calculated number0 students sitting on the left side of the bus, and there were six on the right.How many students go home by bus?",+ number0 number1,Addition
Hippo Helen and her friends are preparing for Helen's house.Helen baked number0 chocolate cookies yesterday and number1 biscuits this morning.How many biscuits did Helen bake?,+ number0 number1,Addition
"Piggy bought number0 apples, and Danny ducks bought number1 apples. How many apples were there?",+ number0 number1,Addition
Dylan dogs prepared number0 hot dog sticks with a brown bag in it.His father put number1 hot dog sticks in the same brown bag.How many hot dog sticks are there in brown bags in Dylan and his father?,+ number0 number1,Addition
"Helen's mother brought number0 hot dogs.A few hours later, Dylan's mother arrived with number1 hot dogs.How many hot dogs do they have?",+ number0 number1,Addition
The little finger made number0 miniature pumping pie for everyone. Herron made number1 a total of number1 microists?,+ number0 number1,Addition
"Rosewood High's spring break, so Rachel and her family decided to travel in Europe.Because Rachel has been fascinated by the French, they started to visit France.During their stay, Rachel went to the famous Eiffel Tower.What if she climbed up the five stairs and rose, and what was the total number she adopted along number1?",+ number0 number1,Addition
"Bella, who visited Rachel, France, asked them to see Buckingham Palace in London.If they follow the land for number0 miles and follow the British river along the ocean along the ocean number1 miles, what is their total distance?",+ number0 number1,Addition
"The first thing I tried when Rachel arrived in England was food.If she eats number0 grams of bacon and number1 grams of sausages, how much food do she eat?",+ number0 number1,Addition
"After eating a rich meal, they went to see Buckingham Palace.Rachel learned that five tourists came to the palace that day.How many tourists would visit the palace within number2 days the day before?",+ number0 number1,Addition
"The last stop of their tour was Italy.They visited Naples there, and modern pizza invented.While they stayed, she ate number0 grams of pizza. How many grams of pizza did her sister eat number1 grams of number1 kreachel and Bella?",+ number0 number1,Addition
"Christmas is coming soon.gentlemen .The President of Anderson organized a charity event to share happiness with unfortunate people.The first thing he had to do was to visit the orphanage.There, he dressed as Santa Claus and gave the children toys.If he gives number0 toy cars to boys and number1 dolls to girls, how many toys did he give everyone?",+ number0 number1,Addition
"The next one on his list is the nursing home near his office.There, he has number0 boxes of vitamins and number1 boxes of supplements.How many boxes of medicine received from MR.Anderson?",+ number0 number1,Addition
"Satisfied with what he did.Anderson decided to continue to donate to others.He walked around the city and sent clothes to homeless people.If he gave number0 shirts and number1 pants, how many clothes did he give?",+ number0 number1,Addition
"After giving away clothes, he invited the homelessness of the nearest soup kitchen to give them a proper meal.If he feeds number0 men and number1 women, how many homeless people can he feed?",+ number0 number1,Addition
"The last place he went to were urban animal shelters.There, he donated some money to make sure to take care of the dogs and cats there.If there are number0 cats and number1 dogs, how many animals are in the shelter?",+ number0 number1,Addition
"Denver is a famous architect in Animapolis.They and his engineer friend Wally decided to build the tallest Animus tower ever in history.In order to ensure that the framework of the tower is strong, they hire the best architects in the town.If they hired number0 beaver and number1 spiders, how many workers did they hire to make a framework?",+ number0 number1,Addition
"In order to carry heavy building materials, they used number0 red ants and number1 black ants.How many ant did they use?",+ number0 number1,Addition
"After the framework was completed, they asked number0 monkeys and number1 termite to complete the rest of the building.How many workers have completed the remaining buildings?",+ number0 number1,Addition
"After the building is completed, they want to make them shine at night.In order to solve their entrustment of number0 fireflies and number1 light worms.How many animals are working in the lamp?",+ number0 number1,Addition
"All workers spent number0 years to complete Animus Tower. This is indeed the brightest and highest structure that Animapolis's Skyline can be seen.If there are number1 stories in the first half of the building, and there are number2 stories in the second half.How many stories do Animus Tower has?",+ number1 number2,Addition
"This is the eve of the New Year.Benjamin and his family went to New York City to participate in the celebration later that night.Before celebrating the event at night, Benjamin wanted to first see some famous places in New York City.Starting from the hotel, he walked number0 steps, reached the nearest restaurant, and then entered the Central Park number1 steps.How many steps did he take from the hotel to Central Park?",+ number0 number1,Addition
"The next one on his list is the famous Empire Building.There, he learned that the building was located number0 feet on the top and the antenna spire was number1 feet.How high is the Empire Building?",+ number0 number1,Addition
"At the top of the Empire Building, he saw Madison Square Garden, so he decided to go there.He spent number0 steps to drive down the building, from the building to Madison Square Garden number1 steps.How many steps did he take to Madison Square?",+ number0 number1,Addition
"It's dark, so he decided to last stop.He took a taxi to the Metropolitan Museum.If he saw number1 pieces of Asian art and number2 Egyptian art, how many arts he saw?",+ number1 number2,Addition
"After visiting the museum, Benjamin returned to the hotel he prepared for New Year's Eve in the Square of the Year of the Year.In order to get there, he took number0 steps along the Rockefeller Center and then number1 steps from Times Square itself.How many steps did he take before reaching Times Square?",+ number0 number1,Addition
"President So Feiya organized by the school's student organization held a meeting to discuss the food provided in the school cafeteria.The first -order business is to discuss whether the food provided by the school.If number0 students say they like food, and number1 students say that they do not have many students to participate in the discussion?",+ number0 number1,Addition
"After agreeing to change the school menu, they voted for food suggestions.If number0 votes add more vegetables to the menu, and number1 votes vote to add more meat, how many students vote?",+ number0 number1,Addition
"Since the results of the voting are over, it is decided that they will balance the menu with meat and vegetables.Five third -grade students and number1 number2 -grade students agreed to this decision.How many students agree with this decision?",+ number0 number1,Addition
"Due to the decision, Sofeiya asked students to propose a specific type of food.If the five students recommend adding potato puree, and number1 suggestions to add bacon to the menu, how many students have participated in the advice of new food?",+ number0 number1,Addition
"A week later, Sofia conducted a survey to ask students if they liked a new menu.She found that number0 students liked new menus, and number1 did not like it.How many students participated in Sofia's survey?",+ number0 number1,Addition
"Winter is almost here, and most animals have moved to warm countries.There are number0 bird families near the mountain.If there are number1 bird families flying away in winter, how many bird families near the mountains?",- number0 number1,Subtraction
"In the river, number0 of the number1 salmon families went to the warm waters to avoid being frozen.How many salmon families are there in the river?",- number1 number0,Subtraction
"Although the wolf is accustomed to cold weather, he also wants to get rid of the winter.If there are number0 packs of wolves living in the forest, and how much wolf packaging does the remaining wolf remain?",- number0 number1,Subtraction
"Some deer families are also moving out to avoid the lack of grass caused by occasional storms.If there are number0 deer families in the area, how many deer families have moved out of about number1 of them?",- number0 number1,Subtraction
"Even Chipmunks tried to escape other warm residences.If there are number0 Chipmunk families from number1 families, how many Chipmunk families have disappeared?",- number1 number0,Subtraction
"Wendy is a very generous child.Whenever her parents buy something for her, she always gives some of them to her friends.This year, her birthday, she received a new set of shoes.She now has a total of number0 pairs of shoes.If she gave her number1 pairs of shoes to her friends, how many pairs of shoes did she leave it?",- number0 number1,Subtraction
"On the first day of school, her parents bought her different colored pens.If her parents bought number0 pens, and she sent number1 of them to her friends, how many pens did she leave for her?",- number0 number1,Subtraction
"During Halloween, she can get a lot of candy from skills or treatment.She decided to give some of them to homeless children.What if she has number0 candy and gives number1 left?",- number0 number1,Subtraction
"Thanksgiving is here, and their family hosted the Thanksgiving dinner of their buildings.They prepared a lot of food, so she asked her parents if they could donate some to the next soup kitchen.If they prepare number0 turkey and send number1 of them to the soup kitchen, how many people do they have to eat?",- number0 number1,Subtraction
"Christmas is here. As usual, she received number0 gifts that could be placed under the Christmas tree.She wanted to make other children happy, so she sent number1 gifts to the orphanage in the city center.How many gifts are left under their Christmas tree?",- number0 number1,Subtraction
"Alicia likes to collect art.Her entire house is full of all the arts she has obtained since she was a child.When she decided to move away, she began to donate some art to different museums.The first museum she went to was the Metropolitan Museum in New York.She donated six original medieval art works.How many medieval art has she left?",- number1 number0,Subtraction
"The next museum on her list is also the ancient Genheim in New York.There, she left number1 sets of masks from Alicia's collection, and gave number0 sets of Egyptian masks from her collection?",- number1 number0,Subtraction
"After New York, she decided to visit the Smithsoni in Washington, DC.If she has number0 miniature planes and she presented number1 to the National Air and Space Museum?",- number0 number1,Subtraction
"She also decided to contribute to the collection of Natural History Museum.After donating some bug collections, she left number0 kinds of bugs.If she had number1 kinds of bugs at first, how much did she donate?",- number1 number0,Subtraction
"Her last stop was the post office.She sent the rock collection to the Geological Museum in London.After she sent a part of the series, she left her favorite number0 stones.If she had number1 stones in the first collection, how much did she send?",- number1 number0,Subtraction
"Jasmine also bought some chips for her friends. Among these chips, she discounted at $ number0.If these chips were cost $ number1 at the beginning, how much did she actually spend?",- number1 number0,Subtraction
"When she returned to her mother, she returned a change worth $ number0.From the beginning of the first $ number1, what was the total amount of her mother's purchase of groceries?",- number1 number0,Subtraction
"It is the basketball season of Ashford Elementary School.Chuck, Captain Chuck, was nervous.Their first opponent was a red team composed of other number0 grades to bring them difficulties.If they lost number1 points and the Red team scored number2 points, what was the final result of their team?",- number2 number1,Subtraction
"They were sad about the defeat of the first game and his teammates, and determined to win in the next game with the Yellow Team.They scored number0 points, and the yellow team scored number1 points for number1 points?",- number0 number1,Subtraction
"Their next opponent is the green team.If their final score is number0 points, and what is the final score of number1 points to lead Green team?",- number0 number1,Subtraction
"With their victory, they won the Chuck team to enter the playoffs.They reached the semi -finals and played with the black team.If they finish the game with number0 points and win with number1 points, what is the final score of the black team?",- number0 number1,Subtraction
"In the championship, they faced the powerful red team.Chake, who wanted to redeem, and his teammates did their best, and paid everything they had.In the end, if the Red Team scored number1 points, how big is the score, they won the game with a number0 -point final result?",- number0 number1,Subtraction
"Simon Mark Kevin and Carl like to collect stamps.They meet every month to compare each other and share their collection.Last month, Kevin was able to collect number0 stamps, while Simon could only collect number1 Kevin than Simon?",- number0 number1,Subtraction
"On the other hand, Carl can collect number0 stamps, number1 more stamps more stamps than Mark.How many stamps can be collected?",- number0 number1,Subtraction
"If Karl has a total of number0 stamps, and Kevin has number1 cards more than Kevin?",- number0 number1,Subtraction
"In the second month, five friends met again and shared their collection.Carl has the most stamps in all stamps to decide to give him some collections.If he had number1 stamps that month, he gave number2 stamps, how many stamps did he leave?",- number1 number2,Subtraction
"Before his friend gave him more stamps, Simon initially had number0 stamps.If he has number1 stamps now, how many stamps did he receive from a friend?",- number1 number0,Subtraction
"Rob likes a tall structure very much.He likes to collect pictures and compare them.His favorite number0 is Chicago's Sears Tower and Burj Khalifa in Dubai.If Burj Khalifa is number1 meters tall, and Sears is number2 meters high, how much is Burj Khalifa higher than Sears?",- number1 number2,Subtraction
