Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,Grade,Type
"Frank saved $ number0.If he gets a subsidy of $ number1, how many $ number2 can he buy?",3.0 37.0 8.0,/ + number0 number1 number2,5,"[3, 4, 5, 10, 11, 12, 18, 19, 20, 22, 23, 24]","Frank had saved up number0 dollars . If he received another number1 dollars for his allowance ,",how many number2 dollar toys could he buy ?,,
"When selling, the cost of a pair of shoes was reduced from $ number0 to $ number1.What is the discount percentage?",42.0 33.6,* / - number0 number1 number0 100.0,20,"[13, 14, 15, 16, 17, 18, 23, 24, 25]","At a sale , the cost of a pair of shoes was reduced from number0 dollars to number1 dollars .",What was the percent of discount ?,,
"Mary likes to eat fruits.Mary paid $ number0 for berrd, $ number1 of Apple, and number2 dollars.In total, how much did she spend?",11.08 14.33 9.31,#NAME?,34.72,"[7, 8, 9, 12, 13, 14, 18, 19, 20, 29, 30, 31]","Mary loves eating fruits . Mary paid $ number0 for berries , $ number1 for apples , and $ number2 for peaches . In total ,",how much money did she spend ?,,
"There are number0 gems in Bryan's collection, and he sold to his friends from the jewelry shop.If the stone is sold at $ number1, how much is Bryan?",8.0 1785.0,* number0 number1,14280,"[1, 2, 3, 24, 25, 26, 34, 35, 36]","Bryan had number0 precious stones in his collection which he sold to his friend from the jewelry store . If the stones were sold at number1 dollar each ,",how much money did Bryan get in total ?,,
The bee has number0 legs.How many legs do you have?,6.0 8.0,* number0 number1,48,"[2, 3, 4, 9, 10, 11, 10, 11, 12]",A bee has number0 legs .,How many legs do number1 bees have ?,,
Patrick jog to Aaron's home.From Patrick's house to Aaron's house number0 miles.Patrick took number1 hours before arriving there.How fast did Patric go?,14.0 2.0,/ number0 number1,7,"[8, 9, 10, 22, 23, 24, 31, 32, 33]",Patrick jogged to Aaron 's house . It is number0 miles from Patrick 's house to Aaron 's house . It took Patrick number1 hours to get there .,How fast did Patrick go ?,,
Michael has some fish in his fish tank.He gave him number0 fish.Now he has number1.How many fish must start with?,18.0 49.0,#NAME?,31,"[11, 12, 13, 18, 19, 20, 27, 28, 29]",Michael has some fish in his fish tank . Ben gave him number0 more fish . Now he has number1 .,How many fish did he have to begin with ?,,
There are number0 children on the football field.Six children decided to join.How many children are there now?,14.0 22.0,#NAME?,36,"[1, 2, 3, 8, 9, 10, 22, 23, 24]",There were number0 kids on the soccer field . number1 kids decided to join in . Now,how many kids are on the soccer field ?,,
"Fred has number0 green balloons, and he gave Sandy number1 balloons.How many green balloons do he now?",709.0 221.0,#NAME?,488,"[1, 2, 3, 8, 9, 10, 19, 20, 21]","Fred has number0 green balloons , he gave Sandy number1 of the balloons .",How many green balloons does he now have ?,,
"Maria bought number0 new chairs and number1 new tables for her house.If she spent number2 minutes on each piece of furniture, she spent a few minutes to complete?",2.0 2.0 8.0,* number2 + number0 number0,32,"[1, 2, 3, 5, 6, 7, 15, 16, 17, 32, 33, 34]","Maria bought number0 new chairs and number1 new tables for her house . If she spent number2 minutes on each piece furniture putting it together ,",how many minutes did it take her to finish ?,,
Gold has number0 cousins.She wants to give each cousin number1 gum.How much gum she does?,4.0 5.0,* number0 number1,20,"[1, 2, 3, 10, 11, 12, 19, 20, 21]",Kim has number0 cousins . She wants to give each cousin number1 pieces of gum .,How much gum will she need ?,,
"Edward has number0 books.If he sold six of them and bought number2 new books with the money he made, how many books will Edward have?",43.0 19.0 14.0,#NAME?,38,"[1, 2, 3, 7, 8, 9, 18, 19, 20, 26, 27, 28]","Edward had number0 books . If he sold number1 of them and used the money he earned to buy number2 new books ,",how many books would Edward have ?,,
Melissa has number0 bananas.She shared six with Joshua.How many bananas will Melissa have?,88.0 4.0,#NAME?,84,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Melissa has number0 bananas . She shares number1 with Joshua .,How many bananas will Melissa have ?,,
"Isabella's hair is number0 cube long hair.If her hair is number1 inches long, how long will it be?",18.0 4.0,#NAME?,22,"[3, 4, 5, 11, 12, 13, 18, 19, 20]","Isabella ’ s hair is number0 cubes long . If her hair grows number1 more inches ,",how long will it be ?,,
"Oliver has number0 socks.If he threw away number1 inappropriate elderly people and bought number2 new ones, how many socks would he have?",11.0 4.0 26.0,#NAME?,33,"[1, 2, 3, 8, 9, 10, 17, 18, 19, 25, 26, 27]","Oliver had number0 socks . If he threw away number1 old ones that did n't fit and bought number2 new ones ,",how many socks would he have ?,,
"Keith plant number0 Canlopes, Freds, and number1 CANTELOPES, and Jason planted number2 Kanter Lops (Jason).How many Cunrup has grown in total?",29.0 16.0 20.0,#NAME?,65,"[1, 2, 3, 6, 7, 8, 12, 13, 14, 21, 22, 23]","Keith grew number0 cantelopes , Fred grew number1 cantelopes , and Jason grew number2 cantelopes .",How many cantelopes did they grow in total ?,,
"Mike helps collect books in the library.There are number0 books that can be given up, but a librarian takes number1 of them and leaves Mike and other libraries.If he can install number2 books on the shelf, how many shelf needs?",82.0 10.0 9.0,/ - number0 number1 number2,8,"[11, 12, 13, 21, 22, 23, 35, 36, 37, 45, 46, 47]","Mike is at the library helping put away books . There are number0 book to put away total but a librarian takes number1 of them and leaves Mike with the rest . If he can fit number2 books on a shelf ,",how many shelves will he need ?,,
Qiong chose number0 apples from the orchard and gave Melannie number1 apples.How many apples are Qiong now?,43.0 27.0,#NAME?,16,"[1, 2, 3, 9, 10, 11, 19, 20, 21]","Joan picked number0 apples from the orchard , and gave number1 apples to Melanie .",How many apples does Joan have now ?,,
"Jason selected number0 pears, Keith selected number1 pears, and Mike selected number2 pears from the pear trees.How many pears have I picked in total?",46.0 47.0 12.0,#NAME?,105,"[1, 2, 3, 6, 7, 8, 14, 15, 16, 26, 27, 28]","Jason picked number0 pears , Keith picked number1 pears , and Mike picked number2 pears from the pear tree .",How many pears were picked in total ?,,
Tim has number0 quarters and number1 nickels in his bank.His father gave him number2 nickel and number3 pence.How many nickels are there now?,7.0 9.0 3.0 5.0,#NAME?,12,"[1, 2, 3, 4, 4, 5, 6, 7]",Tim had number0 quarters and number1 nickels in his bank . His dad gave him number2 nickels and number3 pennies .,How many nickels does Tim have now ?,,
"The teacher has number0 pieces of candy.If there are number1 students and the candy is evenly separated, how many students will each student get?",344.0 43.0,/ number0 number1,8,"[2, 3, 4, 10, 11, 12, 25, 26, 27]","A teacher has number0 pieces of candy . If there are number1 students , and the candy is divided evenly ,",How many pieces will each student get ?,,
Ralph started from number0 peanuts.He lost number1.How many peanuts have Ralph finished?,74.0 59.0,#NAME?,15,"[2, 3, 4, 7, 8, 9, 14, 15, 16]",Ralph starts with number0 peanuts . He loses number1 .,How many peanuts does Ralph end with ?,,
"Isabel chose number0 flowers for his friend's wedding.She is making a bouquet, each flower is number1 flowers.If the number2 flowers before the wedding have withered, can she make a bouquet of flowers?",66.0 8.0 10.0,/ - number0 number2 number1,7,"[1, 2, 3, 14, 15, 16, 21, 22, 23, 35, 36, 37]","Isabel picked number0 flowers for her friend ’ s wedding . She was making bouquets with number1 flowers in each one . If number2 of the flowers wilted before the wedding ,",how many bouquets could she still make ?,,
"Sandy worked for number0 hours in the past number1 days.Suppose she works the same day every day, how long do she work every day?",45.0 5.0,/ number0 number1,9,"[1, 2, 3, 6, 7, 8, 26, 27, 28]","Sandy worked number0 hours in the last number1 days . Assuming that she worked the same amount of hours each day ,",how long did she work each day ?,,
CEASAR needs to read the school's number0 -page book.He has read number1 pages.How many pages did he read?,563.0 147.0,#NAME?,416,"[4, 5, 6, 14, 15, 16, 24, 25, 26]",Ceasar needs to read a number0 page book for school . He has already read number1 pages .,How many pages does he have left to read ?,,
Jenny ran number0 miles and walked number1 miles.Jenny is more than walking than walking?,0.6 0.4,#NAME?,0.2,"[1, 2, 3, 5, 6, 7, 14, 15, 16]",Jenny ran number0 mile and walked number1 mile .,How much farther did Jenny run than walk ?,,
"There are number0 homework issues in Nanyi.She completed six of them, but there are still number2 pages of problems to do.If there are the same number of problems on each page, how many problems are there on each page?",101.0 47.0 6.0,/ - number0 number1 number2,9,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 37, 38, 39]","Nancy had number0 homework problems . She finished number1 of them but still had number2 pages of problems to do . If each page has the same number of problems on it ,",how many problems are on each page ?,,
Sara has a number0 -foot golf.How many golf?,9,* number0 12.0,108,"[1, 2, 3, 11, 12, 13]",Sara has number0 dozen golf balls .,How many golf balls does she have ?,,
"I walked number0 miles within number1 hours and relayed for life.If I maintain this step within number2 hours walking, how many miles will I go?",2.0 1.0 8.0,* number0 number2,16,"[1, 2, 3, 4, 5, 6, 18, 19, 20, 28, 29, 30]","I walked number0 miles in number1 hour for Relay for Life . If I maintained this pace for the number2 hours I walk ,",how many miles total will I walk ?,,
Mary has number0 corners and number1 pence in her bank.Her father borrowed number2 pence from Mary.She has a lot of money now?,21.0 38.0 18.0,#NAME?,20,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 23, 24, 25]",Mary had number0 dimes and number1 pennies in her bank . Her dad borrowed number2 pennies from Mary .,How many pennies does she have now ?,,
"Robin uploaded number0 photos from the mobile phone, from the camera to the number1 photos on Facebook.If she divides the picture into number2 different albums and the number of photos in each album is the same, how many photos are there in each album?",31.0 5.0 9.0,/ + number0 number1 number2,4,"[1, 2, 3, 7, 8, 9, 20, 21, 22, 40, 41, 42]","Robin uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album ,",how many pictures were in each of the albums ?,,
"The tailor cuts number0 inches from the skirt, and a pair of pants is close to number1 inches.How much is the tailor cut off the skirt than pants?",0.75 0.5,#NAME?,0.25,"[2, 3, 4, 8, 9, 10, 27, 28, 29]",A tailor cut number0 inch off a skirt and number1 inch off a pair of pants .,How much more did the tailor cut off the skirt than the pants ?,,
"There are number0 bananas in Diane's banana series.If the banana is organized into number1 groups, how big is each group?",36.0 6.0,/ number0 number1,6,"[1, 2, 3, 15, 16, 17, 21, 22, 23]","There are number0 bananas in Diane 's banana collection . If the bananas are organized into number1 groups ,",how big is each group ?,,
"In school, there are number0 girls and number1 boys.How many students do that school?",542.0 387.0,#NAME?,929,"[5, 6, 7, 8, 9, 10, 17, 18, 19]","In a school , there are number0 girls and number1 boys .",How many pupils are there in that school ?,,
Mrs .Hilder bought number0 Bisa cakes.Each pizza has number1 tablets.How many pieces of Bisa cakes?,2.0 8.0,* number0 number1,16,"[2, 3, 4, 8, 9, 10, 18, 19, 20]",Mrs. Hilt bought number0 pizzas . Each pizza had number1 slices .,How many total slices of pizza did she have ?,,
"Zoe and her friends are recycling paper for their class.They get 1 point every number0 pounds.If Zoy recovered number1 pounds and her friends recovered number2 pounds, how much do they make?",8.0 25.0 23.0,/ + number1 number2 number0,6,"[12, 13, 14, 24, 25, 26, 30, 31, 32, 37, 38, 39]","Zoe and her friends were recycling paper for their class . For every number0 pounds they recycled they earned one point . If Zoe recycled number1 pounds and her friends recycled number2 pounds ,",how many points did they earn ?,,
"Mary has number0 baseball cards, and number1 are torn.Fred (Fred) gave Mary number2 new baseball cards.Mary bought number3 baseball cards.How many baseball cards do Mary now have a baseball card?",18.0 8.0 26.0 40.0,#NAME?,84,"[1, 2, 3, 4, 6, 7, 8, 9]","Mary had number0 baseball cards , and number1 were torn . Fred gave Mary number2 new baseball cards . Mary bought number3 baseball cards .",How many baseball cards does Mary have now ?,,
Neale earns $ number0 per hour.He worked for number1 hours and received a reminder of $ number2. What is his salary?,5.6 22.5 42.25,+ * number0 number1 number2,168.25,"[1, 2, 3, 8, 9, 10, 12, 13, 14, 18, 19, 20]",Neale makes number0 dollars per hour . He worked number1 hours and recieved number2 dollars in tips,what is his salary ?,,
A truck with number0 pounds of sand arrived at the building code and lost number1 pounds of sand along the way.How much sand does the truck arrive at the yard?,4.1 2.4,#NAME?,1.7,"[2, 3, 4, 13, 14, 15, 32, 33, 34]",A truck carrying number0 pounds of sand travels to a construction yard and loses number1 pounds of sand along the way .,How much sand does the truck have when it arrives at the yard ?,,
Nanxi has saved number0 dozens of quarters from the car washing.How much does Nanti have?,1,* 12.0 0.25,3,"[2, 3, 4, 15, 16, 17]",Nancy has saved number0 dozen quarters from washing cars .,How much money does Nancy have ?,,
"Paul bought number0 boxes of chocolate candy and number1 boxes of caramel candy.If there are number2 in each box, how much candy he has?",6.0 4.0 9.0,* number2 + number0 number1,90,"[1, 2, 3, 7, 8, 9, 17, 18, 19, 27, 28, 29]","Paul bought number0 boxes of chocolate candy and number1 boxes of caramel candy . If each box has number2 pieces inside it ,",how much candy did he have total ?,,
Lisa started from number0 bananas.Maria gave Lisa number1 again.How many bananas did Lisa end?,91.0 8.0,#NAME?,99,"[2, 3, 4, 8, 9, 10, 16, 17, 18]",Lisa starts with number0 bananas . Maria gives Lisa number1 more .,How many bananas does Lisa end with ?,,
Fred (Fred) grew number0 cantaloupe.Tim added number1 Guanhapspus.How many cantaloupe did they grow?,38.0 44.0,#NAME?,82,"[1, 2, 3, 6, 7, 8, 15, 16, 17]",Fred grew number0 cantelopes . Tim grew number1 cantelopes .,How many cantelopes did they grow in total ?,,
There are number0 blocks.Add number1 pieces.How much is there?,86.0 9.0,#NAME?,95,"[1, 2, 3, 4, 5, 6, 13, 14, 15]",There are number0 blocks . number1 blocks more are added .,How many are there total ?,,
Each bag contains number0 pounds of oranges.How many pounds of oranges are there in the number1 bags?,23.0 45.0,* number0 number1,1035,"[2, 3, 4, 14, 15, 16, 14, 15, 16]",Each bag contains number0 pounds of oranges .,How many pounds of oranges are in number1 bags ?,,
Sam has number0 or number1 cents in his bank.His sister borrowed number2 corners.How many corners are Sam now?,7.0 8.0 4.0,#NAME?,4,"[1, 2, 3, 4, 5, 6, 13, 14, 15, 21, 22, 23]",Sam had number0 pennies and number1 dimes in his bank . His sister borrowed number2 dimes .,How many dimes does Sam have now ?,,
Sarah chose number0 apples.Her brother chose number1 apples.How many apples did Sarah choose?,45.0 9.0,/ number0 number1,5,"[1, 2, 3, 7, 8, 9, 17, 18, 19]",Sarah picked number0 apples . Her brother picked number1 apples .,How many times as many apples did Sarah pick ?,,
Christopher strolled number0 miles at a speed of number1 miles per hour.How long have you strolled in Christopher?,5.0 4.0,/ number0 number1,1.25,"[1, 2, 3, 4, 5, 6, 12, 13, 14]",Christopher strolled number0 miles at number1 miles per hour .,How long did Christopher stroll ?,,
"Henry has number0 action numbers, but it takes a total of number1 to make a complete collection.If everyone's cost is $ number2, how much does he need to complete his collection?",3.0 8.0 6.0,* number2 - number1 number0,30,"[1, 2, 3, 7, 8, 9, 19, 20, 21, 29, 30, 31]","Henry had number0 action figures , but needed number1 total for a complete collection . If each one costs $ number2 ,",how much money would he need to finish his collection ?,,
"Jonathan wants to buy a dictionary, the price is $ number0, a dinosaur book is $ number1, and a children's recipe, the price is $ number2.He saved $ number3 from the allowance.How much does Jonathan still need to buy all three books?",11.0 19.0 7.0 8.0,#NAME?,29,"[8, 9, 10, 16, 17, 18, 26, 27, 28, 32, 33, 34, 47, 48, 49]","Jonathan wants to buy a dictionary that costs $ number0 , a dinosaur book that costs $ number1 , and a children 's cookbook that costs $ number2 . He has saved $ number3 from his allowance .",How much more money does Jonathan need to buy all three books ?,,
A person uses Internet services to pay $ number0 for number1 months.What is the service fee for number2 months?,145.8 6.0 7.0,* / number0 number1 number2,170.1,"[2, 3, 4, 5, 6, 7, 16, 17, 18, 19, 20, 21]",A person pays number0 dollars for number1 months use of an internet service .,How much will number2 months of service cost ?,,
"A group of scientific majors conducted field inspections.They took number0 trucks and number1 bus.There are number2 of each truck, number3 of each bus.How many people go to the field to inspect?",6.0 8.0 6.0 18.0,+ * number0 number0 * number1 number3,180,"[12, 13, 14, 15, 16, 17, 20, 21, 22, 26, 27, 28, 38, 39, 40]",A group of science students went on a field trip . They took number0 vans and number1 buses . There were number2 people in each van and number3 people in each bus .,How many people went on the field trip ?,,
"Jason has number0 books, and he reads number1 books.Mary has number2 books.How many books do they have?",18.0 9.0 42.0,#NAME?,60,"[1, 2, 3, 7, 8, 9, 13, 14, 15, 21, 22, 23]",Jason has number0 books and he has read number1 of them . Mary has number2 books .,How many books do they have together ?,,
Charlie number0 more snowballs than Lucy.She has number1 snowballs.How many Charlie has it?,31.0 19.0,#NAME?,50,"[1, 2, 3, 9, 10, 11, 15, 16, 17]",Charlie has number0 more snowballs than Lucy . She has number1 snowballs .,How many does Charlie have ?,,
"Ronald went to the store number0 times last month.Every time he goes to the store, he will buy number1 bananas.How many bananas did Ronalde buy last month?",2.0 10.0,* number0 number1,20,"[4, 5, 6, 11, 12, 13, 27, 28, 29]",Ronald went to the store number0 times last month . He buys number1 bananas each time he goes to the store .,How many bananas did Ronald buy last month ?,,
There are number0 birds on the fence.The other six birds landed on the fence.How many birds are there on the fence?,12.0 8.0,#NAME?,20,"[1, 2, 3, 7, 8, 9, 20, 21, 22]",There are number0 birds on the fence . number1 more birds land on the fence .,How many birds are on the fence ?,,
"If Apple's cost is $ number1 and $ number0, what is the cost of number2 pounds of apples?",3.75 3.0 7.0,* / number0 number1 number2,8.75,"[2, 3, 4, 5, 6, 7, 19, 20, 21, 21, 22, 23]","If apples cost number0 dollars for number1 pounds ,","what is the cost , at the same rate , of number2 pounds of apples ?",,
"Jerry made $ number0 trimming lawn and $ number1 weeds.If he spends only $ number2 a week, how long will the money last?",14.0 31.0 5.0,/ + number0 number1 number2,9,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 25, 26, 27]","Jerry made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week ,",how long would the money last him ?,,
"Tiffany uploaded number0 pictures from the mobile phone and uploaded number1 photos from the camera to Facebook.If she divides the picture into number2 different albums and the number of photos in each album is the same, how many photos are there in each album?",7.0 13.0 5.0,/ + number0 number1 number2,4,"[1, 2, 3, 7, 8, 9, 20, 21, 22, 40, 41, 42]","Tiffany uploaded number0 pictures from her phone and number1 from her camera to facebook . If she sorted the pics into number2 different albums with the same amount of pics in each album ,",how many pictures were in each of the albums ?,,
"Victor works in a grocery store and earns $ number0 per hour.On Monday, he worked for number1 hours and he worked for number2 hours on Tuesday.How much did Victor make in those two days?",6.0 5.0 5.0,* number0 + number1 number1,60,"[12, 13, 14, 21, 22, 23, 28, 29, 30, 39, 40, 41]",Victor was working as a sacker at a grocery store where he made number0 dollars an hour . On Monday he worked number1 hours and on Tuesday he worked number2 hours .,How much money did Victor make in those two days ?,,
Connie has number0 red marks and number1 blue marks.How many labels do she have?,2315.0 1028.0,#NAME?,3343,"[1, 2, 3, 5, 6, 7, 14, 15, 16]",Connie has number0 red markers and number1 blue markers .,How many markers does she have altogether ?,,
The garbage patrol team picked up number0 bottles of glass bottle and number1 aluminum cans on Saturday.They completely picked up a few pieces of garbage?,10.0 8.0,#NAME?,18,"[4, 5, 6, 8, 9, 10, 22, 23, 24]",The Litter Patrol picked up number0 glass bottles and number1 aluminum cans on Saturday .,How many pieces of litter did they pick up altogether ?,,
"There are number0 marbles in Kenis.He bought number1 more.Later, Kenneth bought number2 apples in the store.How many marbles are there in Kenis?",3.0 6.0 15.0,#NAME?,9,"[1, 2, 3, 6, 7, 8, 13, 14, 15, 25, 26, 27]","Kenneth has number0 marbles . He buys number1 more . Later , Kenneth buys number2 apples at the store .",How many marbles does Kenneth have in all ?,,
"Cake recipe requires number0 cups of sugar, and cakes need number1 cups of sugar.Is that completely sugar?",0.6 0.2,#NAME?,0.8,"[3, 4, 5, 11, 12, 13, 23, 24, 25]",A cake recipe requires number0 cup of sugar for the frosting and number1 cup of sugar for the cake .,How much sugar is that altogether ?,,
"Adam bought number0 packs of cats and number1 packs of dog food.Each pack of cats contains number2 cans, and each pack of dog food contains number3 cans.How many cans of cats did Adam buy?",9.0 7.0 10.0 5.0,- * number0 number2 * number1 number3,55,"[1, 2, 3, 7, 8, 9, 19, 20, 21, 29, 30, 31, 43, 44, 45]","Adam bought number0 packages of cat food and number1 packages of dog food . Each package of cat food contained number2 cans , and each package of dog food contained number3 cans .",How many more cans of cat food than dog food did Adam buy ?,,
"Robin has number0 songs on her MP3 player.If she deletes number1 old songs and then adds number2 new songs, how many songs do she have on the MP3 player?",30.0 8.0 10.0,#NAME?,32,"[1, 2, 3, 11, 12, 13, 19, 20, 21, 31, 32, 33]","Robin had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs ,",how many songs does she have on her mp3 player ?,,
Hiner started from number0 neighborhoods.She shared number1 with Hesse.How many neighborhoods did Heat end?,86.0 41.0,#NAME?,45,"[2, 3, 4, 7, 8, 9, 16, 17, 18]",Heather starts with number0 blocks . She shares number1 with Jose .,How many blocks does Heather end with ?,,
There are number0 seats in the Ferris wheel of Paradise Park.Each seat can accommodate number1 people.How many people can ride the Ferris wheel at the same time?,14.0 6.0,* number0 number1,84,"[6, 7, 8, 13, 14, 15, 26, 27, 28]",The Ferris wheel in Paradise Park has number0 seats . Each seat can hold number1 people .,How many people can ride the Ferris wheel at the same time ?,,
Ted has number0 candy sticks.He wanted to put them in number1 bags so that there were the same number of candy sticks in each bag.How many candy should there be in each bag?,15.0 5.0,/ number0 number1,3,"[1, 2, 3, 11, 12, 13, 35, 36, 37]",Ted has number0 candy bars . He wants to put them into number1 bags so there are the same number of candy bars in each bag .,How many candy bars should go in each bag ?,,
Andrew spent number0 days to study his scientific report.He works number1 hours a day.How many hours did he work?,3.0 2.5,* number0 number1,7.5,"[1, 2, 3, 12, 13, 14, 21, 22, 23]",Andrew spent number0 day working on his Science report . He worked for number1 hours each day .,How many hours did he work ?,,
Each farmer's five lambs of Cunningham are black or white.There are number1 white.How many people are black in Camp Ningan?,6048.0 193.0,#NAME?,5855,"[4, 5, 6, 14, 15, 16, 25, 26, 27]",Each of farmer Cunningham 's number0 lambs is either black or white . There are number1 white ones .,How many of Farmer Cunningham 's lambs are black ?,,
Bob's car is number0 kilometers per gallon.How far can he drive on the number1 gallon gas?,10.0 10.0,* number0 number0,100,"[3, 4, 5, 14, 15, 16, 16, 17, 18]",Bob ’ s car gets number0 kilometers per gallon .,How far can he drive on number1 gallons of gas ?,,
Joan (Joan) has number0 green and number1 red marble.Fred took away number2 Green Marbles of Joan.How many green marbles have Joan now?,47.0 48.0 24.0,#NAME?,23,"[1, 2, 3, 4, 5, 6, 10, 11, 12, 23, 24, 25]",Joan has number0 green and number1 red marbles . Fred took number2 of Joan 's green marbles .,How many green marbles does Joan now have ?,,
"Alyssa chose number0 plums, and Jason chose number1 plums.Melanie chose number2 pears.How many plums have you chosen?",17.0 10.0 35.0,#NAME?,27,"[1, 2, 3, 6, 7, 8, 11, 12, 13, 19, 20, 21]",Alyssa picked number0 plums and Jason picked number1 plums . Melanie picked number2 pears .,How many plums were picked in all ?,,
There are number0 crayons in the drawer.Benny put number1 crayons in the drawer.How many crayons are there now?,9.0 3.0,#NAME?,12,"[1, 2, 3, 9, 10, 11, 22, 23, 24]",There are number0 crayons in the drawer . Benny placed number1 more crayons in the drawer .,How many crayons are now there in total ?,,
April discount flowers are sold for $ number0 per flower.How much did she spend if Emily bought number1 roses and number2 daisies?,3.0 2.0 2.0,* number0 + number1 number1,12,"[11, 12, 13, 17, 18, 19, 20, 21, 22, 26, 27, 28]","April 's discount flowers was having a sale where each flower was number0 dollars . If Emily bought number1 roses and number2 daisies ,",how much did she spend ?,,
"Sam planted number0 watermelons, but rabbits ate number1 kinds of watermelon.How much watermelon has Sam left?",4.0 3.0,#NAME?,1,"[1, 2, 3, 8, 9, 10, 16, 17, 18]","Sam grew number0 watermelons , but the rabbits ate number1 watermelons .",How many watermelons does Sam have left ?,,
Farmers reported that they received number0 bags of apples from each of the number1 parts of the orchard every day.How many sacks are harvested every day?,45.0 8.0,* number0 number1,360,"[5, 6, 7, 13, 14, 15, 25, 26, 27]",The farmers reported that they harvest number0 sacks of apples from each of the number1 sections of the orchard daily .,How many sacks are harvested every day ?,,
"Luke (Luke) made $ number0 pruning lawn and $ number1 weeds.If he spends only $ number2 a week, how long will the money last?",9.0 18.0 3.0,/ + number0 number1 number2,9,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 25, 26, 27]","Luke made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week ,",how long would the money last him ?,,
"Sally (Sally) paid $ number0 peaches and enjoyed $ number1 of a coupon, $ number2 cherry.In total, how much did Sali spend?",12.32 3.0 11.54,#NAME?,23.86,"[2, 3, 4, 9, 10, 11, 15, 16, 17, 26, 27, 28]","Sally paid $ number0 total for peaches , after a number1 dollar coupon , and $ number2 for cherries . In total ,",how much money did Sally spend ?,,
"On the arcade, Jery won number0 tickets.If he spent number1 tickets on the nifty -eaves hats, and then won number2 tickets, how many tickets would he have?",4.0 2.0 47.0,#NAME?,49,"[4, 5, 6, 10, 11, 12, 18, 19, 20, 25, 26, 27]","At the arcade Jerry won number0 tickets . If he spent number1 tickets on a beanie and later won number2 more tickets ,",how many would he have ?,,
"Bianca has number0 songs on her MP3 player.If she deletes number1 old songs and then adds number2 new songs, how many songs do she have on the MP3 player?",34.0 14.0 44.0,#NAME?,64,"[1, 2, 3, 11, 12, 13, 19, 20, 21, 31, 32, 33]","Bianca had number0 songs on her mp3 player . If she deleted number1 old songs from it and then added number2 new songs ,",how many songs does she have on her mp3 player ?,,
"Megan's class is going to the zoo for field inspection.If each truck can accommodate number0 people and number1 students and number2 adults, how many trucks do they need?",5.0 25.0 5.0,/ + number0 number1 number0,6,"[17, 18, 19, 22, 23, 24, 25, 26, 27, 33, 34, 35]","Megan 's class is going on a field trip to the zoo . If each van can hold number0 people and there are number1 students and number2 adults going ,",how many vans will they need ?,,
There are number0 goose and number1 ducks in the swamp.How many birds are there in the swamp?,58.0 37.0,#NAME?,95,"[1, 2, 3, 4, 5, 6, 15, 16, 17]",There were number0 geese and number1 ducks in the marsh .,How many birds were in the marsh ?,,
Kylie is collecting coins.She got number0 coins from Pig Bank and got number1 coins from her brother.Her father gave Kelly number2 coins.Kylie gave eight coins to her friend Laura.How many coins did Kelly leave?,15.0 13.0 8.0 21.0,#NAME?,15,"[6, 7, 8, 13, 14, 15, 23, 24, 25, 28, 29, 30, 42, 43, 44]",Kylie was collecting coins . She got number0 coins from her piggy bank and number1 coins from her brother . Her father gave Kylie number2 coins . Kylie gave number3 of the coins to her friend Laura .,How many coins did Kylie have left ?,,
Carlos has number0 blocks.He gave Rachel number1.How many neighborhoods will Carlos?,58.0 21.0,#NAME?,37,"[1, 2, 3, 6, 7, 8, 14, 15, 16]",Carlos has number0 blocks . He gives number1 to Rachel .,How many blocks will Carlos have ?,,
Anna collects number0 blocks.Anna's father gave Anna number1 again.How many districts do Anna have?,6.0 8.0,#NAME?,14,"[1, 2, 3, 9, 10, 11, 16, 17, 18]",Anna collects number0 blocks . Anna 's father gives Anna number1 more .,How many blocks does Anna have ?,,
"TORI is a schoolman.Last week, she picked up a total of number0 garbage.If she picked up number1 garbage in the classroom, how many garbage did she pick up outside the classroom?",1576.0 344.0,#NAME?,1232,"[14, 15, 16, 23, 24, 25, 41, 42, 43]","Tori is a school janitor . Last week , she picked up a total of number0 pieces of trash . If she picked up number1 pieces of trash in the classrooms ,",how many pieces of trash did Tori pick up outside the classrooms ?,,
"In number1 months, there were number0 football games.If the game is allocated on average, how many football games do you play in a month?",27.0 3.0,/ number0 number1,9,"[4, 5, 6, 9, 10, 11, 28, 29, 30]","There were a total of number0 soccer games during the number1 month season . If the games are equally divided ,",how many soccer games are played a month ?,,
"At the expo, five people lined up in the bumper car.If the six of them are tired of waiting and the left, there are still number2 queuing, how many people will line up?",9.0 6.0 3.0,#NAME?,6,"[4, 5, 6, 14, 15, 16, 24, 25, 26, 35, 36, 37]","At the fair there were number0 people in line for the bumper cars . If number1 of them got tired of waiting and left and number2 more got in line ,",how many people would be in line ?,,
