Problem,annotated_formula
a car takes number0 hours to cover a distance of number1 km . how much should the speed in kmph be maintained to cover the same direction in number2 / number3 th of the previous time ?,"/(number1, /(*(number0, number2), number3))"
"when a train travels at a speed of number0 kmph , it reaches the destination on time . when the same train travels at a speed of number1 kmph , it reaches its destination number2 min late . what is the length of journey ?","*(60, /(*(/(number2, 60), number1), number1))"
how long does a train number0 m long traveling at number1 kmph takes to cross a bridge of number2 m in length ?,"/(+(number0, number2), *(number1, 0.2778))"
"if a train , travelling at a speed of number0 kmph , crosses a pole in number1 sec , then the length of train is ?","*(*(number0, 0.2778), number1)"
a tank is number0 m long number1 m wide and number2 m deep . the cost of plastering its walls and bottom at number3 paise per sq m is,"*(/(number3, 100), +(*(number0, number1), +(*(2, *(number0, number2)), *(*(number1, number2), 2))))"
"a man rows his boat number0 km downstream and number1 km upstream , taking number2 hours each time . find the speed of the stream ?","/(-(/(number0, number2), /(number1, number2)), 2)"
"my grandson is about as many days as my son in weeks , and my grandson is as many months as i am in years . my grandson , my son and i together are number0 years . can you tell my son age in years ?","*(/(number0, +(10, 10)), 12)"
"in a race of number0 m , a can beat by number1 m , in a race of number2 m , b can beat c by number1 m . by how many meters will a beat c in a race of number3 m ?","-(number0, /(*(-(number0, number1), -(number2, number1)), number2))"
two friends decide to get together ; so they start riding bikes towards each other . they plan to meet halfway . each is riding at number0 mph . they live number1 miles apart . one of them has a pet carrier pigeon and it starts flying the instant the friends start traveling . the pigeon flies back and forth at number2 mph between the number3 friends until the friends meet . how many miles does the pigeon travel ?,"*(number2, /(/(number1, number3), number0))"
"the h . c . f . of two numbers is number0 and their l . c . m . is number1 . if one of the number is number2 , find the other ?","*(number0, number2)"
a car covers a distance of number0 km in number1 ½ hours . find its speed ?,"/(number0, number1)"
the speed of a boat in still water is number0 km / hr and the rate of current is number1 km / hr . the distance travelled downstream in number2 minutes is :,"*(/(number2, 60), +(number0, number1))"
given a circular wheel of number0.number1 m radius how many revolutions will the will make to travel a distance of number2 km ?,"*(*(*(/(*(+(10, 1), 2), +(3, 4)), 2), number0.number1), 1000)"
"a thief is spotted by a policeman from a distance of number0 meters . when the policeman starts the chase , the thief also starts running . if the speed of the thief be number1 km / hr and that of the policeman number2 km / hr , how far the thief will have run before he is overtaken ?","/(*(number0, number1), -(number2, number1))"
"mary works number0 hours per day on monday , wednesday and friday , and number1 hours per day on tuesday and thursday . she does not work on saturday and sunday . she earns $ number2 per week . how much does she earn in dollars per hour ?","/(number2, +(*(number0, 3), *(number1, 2)))"
"the end of a blade on an airplane propeller is number0 feet from the center . if the propeller spins at the rate of number1,number2 revolutions per second , how many miles will the tip of the blade travel in one minute ? ( number1 mile = number3,number4 feet )","*(*(*(*(/(number0, +(*(2, 100), *(+(2, 3), 1000))), 2), /(+(2, *(2, number0)), +(3, 4))), number1,number2), 60)"
a policeman noticed a criminal from a distance of number0 km . the criminal starts running and the policeman chases him . the criminal and the policeman run at the rate of number1 km and number2 km per hour respectively . what is the distance between them after number3 minutes ?,"-(number0, *(/(number3, 60), 1000))"
"if number0 men do a work in number1 days , in how many days will number2 men do it ?","/(*(number0, number1), number2)"
"a man walks at a rate of number0 mph . after every ten miles , he rests for number1 minutes . how much time does he take to walk number2 miles ?","+(*(number1, 4), *(/(number2, number0), 60))"
"while working alone at their constant rates , computer x can process number0 files in number1 hours , and computer y can process number0 files in number2 hours . if all files processed by these computers are the same size , how many hours would it take the two computers , working at the same time at their respective constant rates , to process a total of number0 files ?","/(number0, +(/(number0, number1), /(number0, number2)))"
"jane makes toy bears . when she works with an assistant , she makes number0 percent more bears per week and works number1 percent fewer hours each week . having an assistant increases jane ’ s output of toy bears per hour by what percent ?","*(/(number1, -(-(100, number0), number1)), 100)"
the diameter of a garden roller is number0.number1 m and it is number2 m long . how much area will it cover in number3 revolutions ? ( use ï € = number4 â  „ number5 ),"*(number3, *(*(*(number2, /(number4, number5)), /(number0.number1, number2)), number2))"
a train running at a speed of number0 kmph crosses an electric pole in number1 seconds . in how much time will it cross a number2 m long platform ?,"/(+(number2, *(*(0.2778, number0), number1)), *(0.2778, number0))"
two men a and b start from place x walking at number0 ½ kmph and number1 ¾ kmph respectively . how many km apart they are at the end of number2 ½ hours if they are walking in the same direction ?,"+(*(+(number2, /(1, 2)), -(+(number1, /(3, number0)), +(number0, /(1, 2)))), 2)"
"if the perimeter of a rectangular garden is number0 m , its length when its breadth is number1 m is ?","-(/(number0, 2), number1)"
a train number0 m long is running with a speed of number1 km / hr . in what time will it pass a trolley that is running with a speed of number2 km / hr in the direction opposite to that in which the train is going ?,"/(number0, *(+(number1, number2), 0.2778))"
"number0 pumps , working number1 hours a day , can empty a tank in number2 days . how many hours a day should number3 pumps work in order to empty the tank in number4 day ?","/(*(*(number0, number1), number2), number3)"
"if two students starting from same point , walking in the opposite directions with number0 km / hr and number1 km / hr as average speeds respectively . then the distance between them after number2 hours is ?","+(*(number0, number2), *(number1, number2))"
"find the area of a cuboid of length number0 cm , breadth number1 cm . and height number2 cm .","*(*(number0, number1), number2)"
amar takes as much time in running number0 meters as a car takes in covering number1 meters . what will be the distance covered by amar during the time the car covers number2.number3 km ?,"/(*(number0, *(number2.number3, 1000)), number1)"
a train number0 m long is running at a speed of number1 km / hr . in what time will it pass a bridge number2 m long ?,"/(number0, *(-(number1, number2), 0.2778))"
"a boat sails number0 km of a river towards upstream in number1 hours . how long will it take to cover the same distance downstream , if the speed of current is one - fourth the speed of the boat in still water ?","/(number0, number1)"
there was two trains from calcutta to kanyakumari one train is fast service travels with a speed number0 km per hour another travels with a speed of number1 km per hour the time taken to reach from calcutta to kanyakumari is number2 hours less than the first train . . . find the distance b / w calcatta to kanyakumari,"/(*(4, *(number0, number1)), -(number0, number1))"
"if number0 men do a work in number1 days , in how many days will number2 men do it ?","/(*(number0, number1), number2)"
a courtyard is number0 meter long and number1 meter board is to be paved with bricks of dimensions number2 cm by number3 cm . the total number of bricks required is ?,"/(*(*(number0, 100), *(number1, 100)), *(number2, number3))"
if number0 lions can kill number0 deers in number0 minutes how long will it take number1 lions to kill number1 deers ?,"*(/(number0, number0), number0)"
"each day a man meets his wife at the train station after work , and then she drives him home . she always arrives exactly on time to pick him up . one day he catches an earlier train and arrives at the station an hour early . he immediately begins walking home along the same route the wife drives . eventually his wife sees him on her way to the station and drives him the rest of the way home . when they arrive home the man notices that they arrived number0 minutes earlier than usual . how much time did the man spend walking ?","-(60, /(number0, 2))"
the speed of a car is number0 km in the first hour and number1 km in the second hour . what is the average speed of the car ?,"/(+(number0, number1), 2)"
"a train leaves delhi at number0 a . m . at a speed of number1 kmph . another train leaves at number2 p . m . at a speed of number3 kmph on the same day and in the same direction . how far from delhi , will the two trains meet ?","*(/(*(number1, +(3, number2)), -(number3, number1)), number3)"
"in what time will a train number0 m long cross an electric pole , it its speed be number1 km / hr ?","/(number0, *(number1, 0.2778))"
"the center of a circle lies on the origin of the coordinate plane . if a point ( x , y ) is randomly selected inside of the circle , what is the probability that y > number0 or y > x ?","/(3, *(2, 4))"
"in a kilometer race , a beats b by number0 meters or number1 seconds . what time does a take to complete the race ?","-(/(*(1, 1000), /(number0, number1)), number1)"
how many seconds will a train number0 meters long take to cross a bridge number1 meters long if the speed of the train is number2 kmph ?,"/(+(number1, number0), *(number2, 0.2778))"
convert number0 miles into meters ?,"/(*(*(*(+(3, 2), 2), *(+(3, 2), 2)), number0), *(*(+(3, 2), 2), *(+(3, 2), 2)))"
matt and peter can do together a piece of work in number0 days . after they have worked together for number1 days matt stops and peter completes the remaining work in number2 days . in how many days peter complete the work separately .,"/(number2, -(1, *(number1, /(1, number0))))"
"jack rode his bicycle at an average speed of number0 mph for some time and then at an average speed of number1 mph for the rest of the journey . if he made no stops during the trip , and his average speed for the entire journey was number2 miles per hour , for what fraction of the total time did he ride at number1 mph ?","/(/(number1, number1), 2)"
a cistern number0 meters long and number0 meters wide contains water up to a depth of number1 meter number2 cm . what is the total area of the wet surface ?,"+(+(*(number0, number0), *(2, *(number0, +(number1, /(number2, 100))))), *(2, *(number0, +(number1, /(number2, 100)))))"
"two pipes p and q can fill a cistern in number0 and number1 minutes respectively . both are opened together , but at the end of number2 minutes the first is turned off . how many more minutes will it take for the cistern to fill after the first pipe is turned off ?","*(-(1, *(+(/(1, number0), /(1, number1)), 4)), number1)"
two parallel sides of a trapezium are number0 cm and number1 cm respectively . the perpendicular distance between the parallel sides is number2 cm . find the area of the trapezium .,"*(/(+(number0, number1), 2), number2)"
"a and b finish the job in number0 days . while a , b and c can finish it in number1 days . c alone will finish the job in","/(*(number1, number0), -(number0, number1))"
"calculate how many days it will take for number0 boys to wash a number1 m long wall if number2 boys can wash a number3 m long wall in number4 days ,","/(*(*(number2, number4), number1), *(number3, number0))"
"youseff lives x blocks from his office . it takes him number0 minute per block to walk to work and number1 seconds per block to ride his bike to work . it is takes him exactly number2 minutes more to walk to work than to ride his bike to work , then x equals ?","/(*(number2, 3), 2)"
a train number0 m long is running at a speed of number1 km / hr . in what time will it pass a bridge number2 m long ?,"/(number0, *(-(number1, number2), 0.2778))"
"natasha climbs up a hill , and descends along the same way she went up . it takes her number0 hours to reach the top and number1 hours to come back down . if her average speed along the whole journey is number2.number3 kilometers per hour , what was her average speed ( in kilometers per hour ) while climbing to the top ?","/(/(*(+(number0, number1), number2.number3), number1), number0)"
"man can row upstream at number0 kmph and downstream at number1 kmph , and then find the speed of the man in still water ?","/(+(number0, number1), 2)"
"triathlete dan runs along a number0 - mile stretch of river and then swims back along the same route . if dan runs at a rate of number1 miles per hour and swims at a rate of number2 miles per hour , what is his average rate for the entire trip in miles per minute ?","/(+(number0, number0), +(*(/(number0, number2), 60), *(/(number0, number1), 60)))"
a train number0 m long is running at a speed of number1 km / hr . in what time will it pass a bridge number2 m long ?,"/(number0, *(-(number1, number2), 0.2778))"
"a train covers a distance of number0 km in number1 hour . if its speed is decreased by number2 km / hr , the time taken by the car to cover the same distance will be ?","/(number0, -(/(number0, number1), number2))"
how many pieces of number0.number1 meteres can be cut from a rod number2.number3 meteres long,"/(number2.number3, number0.number1)"
"jerry travels number0 miles at an average speed of number1 miles per hour , stops for number2 minutes , and then travels another number3 miles at an average speed of number4 miles per hour . what is jerry ’ s average speed , in miles per hour , for this trip ?","/(+(number0, number3), +(+(/(number0, number1), /(number2, number4)), /(number3, number4)))"
"number0 men can dig a pit in number1 days . if a men work half as much again as a boy , then number2 men and number3 boys can dig a similar pit . fint the days for number4 boys can dig ?","/(*(*(number0, /(-(number4, number3), number2)), number1), number4)"
how long does a train number0 meters long running at the rate of number1 kmph take to cross a bridge number2 meters in length ?,"/(+(number0, number2), *(number1, 0.2778))"
"a and b are two multiples of number0 , and q is the set of consecutive integers between a and b , inclusive . if q contains number1 multiples of number0 , how many multiples of number2 are there in q ?","-(*(number1, 2), 1)"
"in what time will a train number0 meters long cross an electric pole , if its speed is number1 km / hr","/(number0, *(number1, 0.2778))"
"there are two cars . one is number0 miles north of the other . simultaneously , the car to the north is driven westward at number1 miles per hour and the other car is driven eastward at number2 miles per hour . how many miles apart are the cars after number3 hours ?","√(+(^(+(*(number2, number3), *(number1, number3)), 2), ^(*(number2, number3), 2)))"
"the cross - section of a water channel is a trapezium in shape . if the channel is number0 meters wide at the top and number1 meters wide at the bottom and the area of cross - section is number2 square meters , what is the depth of the channel ( in meters ) ?","/(number2, /(+(number0, number1), 2))"
a bicycle wheel has a diameter of number0.number1 m . how many complete revolutions does it make in number2 km ?,"/(*(1000, number2), *(+(3, /(+(*(3, 4), 2), ^(+(*(4, 2), 2), 2))), number0.number1))"
x can finish a work in number0 days . y can finish the same work in number1 days . y worked for number2 days and left the job . how many days does x alone need to finish the remaining work ?,"/(-(1, *(number2, /(1, number1))), /(1, number0))"
how many seconds will a number0 meter long train moving with a speed of number1 km / hr take to cross a man walking with a speed of number2 km / hr in the direction of the train ?,"/(number0, *(-(number1, number2), 0.2778))"
"a train covers a distance of number0 km in number1 minutes . if it takes number2 seconds to pass a telegraph post , then the length of the train is","/(100.number3, -(/(100.number3, number1), number2))"
"machine a can process number0 envelopes in number1 hours . machines b and c working together but independently can process the same number of envelopes in number2.number3 hours . if machines a and c working together but independently process number4 envelopes in number5 hour , then how many hours would it take machine b to process number6 envelopes .","/(number6, -(/(number0, number2.number3), -(/(number4, number5), /(number0, number1))))"
"two trains number0 meters and number1 meters in length respectively are running in opposite directions , one at the rate of number2 km and the other at the rate of number3 kmph . in what time will they be completely clear of each other from the moment they meet ?","/(+(number0, number1), *(+(number2, number3), 0.2778))"
"if a boat is rowed downstream for number0 km in number1 hours and upstream for number2 km in number3 hours , what is the speed of the boat and the river ?","/(+(/(number2, number3), /(number0, number1)), 2)"
"a number0 m long train crosses a tree in number1 sec , how much time will i take to pass a platform number2 m long ?","/(+(number0, number2), /(number0, number1))"
"p works number0 % more efficiently than q and q works number1 % more efficiently than r . to complete a certain project , p alone takes number1 days less than q alone . if , in this project p alone works for number2 days and then q alone works for number3 days , in how many days can r alone complete the remaining work ?","-(*(4, number1), *(/(number3, 100), number2))"
a rectangular grassy plot number0 m . by number1 m has a gravel path number2.number3 m wide all round it on the inside . find the cost of gravelling the path at number4 paise per sq . metre .,"/(*(-(*(number0, number1), *(-(number0, *(number2.number3, 2)), -(number1, *(number2.number3, 2)))), number4), 100)"
the length of a room is number0.number0 m and width is number1.number2 m . find the cost of paying the floor by slabs at the rate of rs . number3 per sq . metre .,"*(number3, *(number0.number0, number1.number2))"
a cistern of capacity number0 litres measures externally number1.number1 m by number2.number3 m by number4.number3 m and its walls are number5 cm thick . the thickness of the bottom is :,"-(*(*(number1.number1, number2.number3), number4.number3), /(number0, 1000))"
the length of minute hand of a clock is number0.number0 cm . what is the area covered by this in number1 minutes,"*(/(+(*(2, number1), 2), +(3, 4)), *(*(number0.number0, number0.number0), /(*(1, 60), *(100, 3_6))))"
"a , b , k start from the same place and travel in the same direction at speeds of number0 km / hr , number1 km / hr , number2 km / hr respectively . b starts two hours after a . if b and k overtake a at the same instant , how many hours after a did k start ?","-(number1, number0)"
"one hour after yolanda started walking from x to y , a distance of number0 miles , bob started walking along the same road from y to x . if yolanda ' s walking rate was number1 miles per hour and bob т ' s was number2 miles per hour , how many miles had bob walked when they met ?","*(/(-(number0, number1), +(number1, number2)), number2)"
number0 men can do a work in number1 days . when should number2 men leave the work so that the entire work is completed in number1 days after they leave the work ?,"/(-(*(number0, number1), *(number1, number2)), number1)"
a can complete the job in number0 hours and b can complete the same job in number1 hours . a works for number2 hour and then b joins and both complete the job . what fraction of the job did b complete,"/(-(-(number0, number2), number1), *(number0, number1))"
there is food for number0 men for number1 days . how many more men should join after two days so that the same food may last for number2 days more ?,"-(/(*(number0, -(number1, 2)), number2), number0)"
if two - third of a bucket is filled in number0 seconds then the time taken to fill the bucket completely will be .,"*(/(number0, 2), 3)"
"if a tire rotates at number0 revolutions per minute when the car is traveling number1 km / h , what is the circumference of the tire ?","*(/(number1, *(*(*(2, 3), 10), number0)), 1000)"
number0 men do a work in number0 days . how many men are needed to finish the work in number1 days ?,"/(*(number0, number0), number1)"
a man can row number0 kmph in still water . if the velocity of the current is number1 kmph and it takes him number1 hours to row to a place and come back . how far is the place ?,"/(*(*(-(number0, number1), +(number0, number1)), number1), +(+(number0, number1), -(number0, number1)))"
"the hiker walking at a constant rate of number0 miles per hour is passed by a cyclist traveling in the same direction along the same path at number1 miles per hour . the cyclist stops to wait for the hiker number0 minutes after passing her , while the hiker continues to walk at her constant rate , how many minutes must the cyclist wait until the hiker catches up ?","*(/(*(-(number1, number0), /(number0, 60)), number0), 60)"
"a tank with a volume of number0 cubic feet has one inlet pipe and number1 outlet pipes . the inlet pipe fills water into the tank at the rate of number2 cubic inches / min and the number1 outlet pipes empty it out at the rates of number3 cubic inches / min and number4 cubic inches / min respectively . if all number5 pipes are opened when the tank is full , how many minutes does it take to empty the tank ? ( number6 foot = number7 inches )","/(*(number0, ^(number3, number2)), -(+(number7, number4), number2))"
"a train consists of number0 boggies , each boggy number1 metres long . the train crosses a telegraph post in number2 seconds . due to some problem , three boggies were detached . the train now crosses a telegraph post in","/(-(*(number0, number1), number1), /(*(number0, number1), number2))"
a number0 metres long train running at the speed of number1 kmph crosses another train running in opposite direction at the speed of number2 kmph in number3 seconds . what is the length of the other train ?,"-(*(*(+(number1, number2), 0.2778), number3), number0)"
"with a uniform speed a car covers the distance in number0 hours . had the speed been increased by number1 km / hr , the same distance could have been covered in number2 number3 / number1 hours . what is the distance covered ?","/(number3, number1)"
"a person walking at number0 kmph reaches his office number0 minutes late . if he walks at number1 kmph , he reaches there number0 minutes earlier . how far is the office from his house ?","*(+(/(+(*(number0, /(number0, 60)), *(number1, /(number0, 60))), -(number1, number0)), /(number0, 60)), number0)"
"two pipes a and b can fill a tank in number0 hours and number1 hours respectively . if both the pipes are opened simultaneously , how much time will be taken to fill the tank ?","/(1, +(/(1, number0), /(1, number1)))"
"tammy climbed a mountain in two days . she spent a total of number0 hours climbing the mountain . on the second day , she walked at an average speed that was half a kilometer per hour faster , but number1 hours less than what she walked on the first day . if the total distance she climbed during the two days is number2 kilometers , how many w kilometers per hour did tammy walk on the second day ?","+(/(-(number2, /(-(/(+(number0, number1), number1), number1), number1)), +(-(/(+(number0, number1), number1), number1), /(+(number0, number1), number1))), /(1, number1))"
a car takes number0 hours to cover a distance of number1 km . how much should the speed in kmph be maintained to cover the same direction in number2 / number3 th of the previous time ?,"/(number1, /(*(number0, number2), number3))"
"if the perimeter of a rectangular park is number0 m , its length when its breadth is number1 m is ?","-(/(number0, 2), number1)"
"a boat running upstream takes number0 min to cover a certain distance , while it takes number1 min to cover the same distance running down stream . what is the ratio between the speed of the boat and speed of water current respectively ?","/(/(+(number0, number1), 2), -(number0, /(+(number0, number1), 2)))"
"on a trip , a cyclist averaged number0 miles per hour for the first number1 miles and number2 miles per hour for the remaining number1 miles . if the cyclist returned immediately via the same route and took a total of number3.number0 hours for the round trip , what was the average speed ( in miles per hour ) for the return trip ?","/(+(number1, number1), -(number3.number0, +(/(number1, number0), /(number1, number2))))"
a and b complete a work in number0 days . a can alone can do it in number1 days . if both can together can do the work in how many days ?,"/(*(number0, number1), +(number0, number1))"
suppose you work for a manufacturing plant that pays you $ number0.number1 an hour plus $ number2.number3 for each widget you make . how many widgets must you produce in a number4 hour week to earn $ number5 ( before payroll deductions ) ?,"/(-(number5, *(number0.number6, number4)), number2.number3)"
what is the distance covered by a car if it travels with a speed of number0 kmh for number1 hours ?,"*(number0, number1)"
a can do a piece of work in number0 days and b in number1 days . they work together for number2 days and then b goes away . in how many days will a finish the remaining work ?,"+(/(-(1, +(*(number2, /(1, number0)), *(number2, /(1, number1)))), /(1, number1)), number2)"
"pumps a , b , and c operate at their respective constant rates . pumps a and b , operating simultaneously , can fill a certain tank in number0 / number1 hours ; pumps a and c , operating simultaneously , can fill the tank in number2 / number3 hours ; and pumps b and c , operating simultaneously , can fill the tank in number4 hours . how many hours does it take pumps a , b , and c , operating simultaneously , to fill the tank .","/(-(+(number1, number1), +(/(number1, number0), +(number0, number0))), number0)"
"a man ' s regular pay is $ number0 per hour up to number1 hours . overtime is twice the payment for regular time . if he was paid $ number2 , how many hours overtime did he work ?","/(-(number2, *(number0, number1)), *(number0, 2))"
"a train number0 m long , running with a speed of number1 km / hr will pass a tree in","*(/(number0, *(number1, 1000)), 3600)"
"a man swims downstream number0 km and upstream number1 km taking number2 hours each time , what is the speed of the man in still water ?","/(+(/(number1, number2), /(number0, number2)), 2)"
"a can fill tank in number0 minutes , b can empty the tank in number1 minutes . . in what time the tank be filled , if both pipes work simultaneously ?","/(1, -(/(1, number0), /(1, number1)))"
"find the l . c . m of number0 , number1 , number2 and number3 .","*(*(^(3, 3), *(^(2, 3), ^(+(4, 1), 2))), /(/(/(/(/(number2, 2), 2), 3), +(4, 1)), +(4, 1)))"
two trains are moving in opposite directions at number0 km / hr and number1 km / hr . their lengths are number2.number3 km and number4.number5 km respectively . the time taken by the slower train to cross the faster train in seconds is ?,"-(/(*(number2.number3, 1000), /(*(number0, 1000), 3600)), /(*(number4.number5, 1000), /(*(number1, 1000), 3600)))"
a can do a work in number0 days . b can do in number1 days . if both a & b are working together in how many days they can finish the work ?,"/(1, +(/(1, number0), /(1, number1)))"
"excluding the stoppages , the speed of a bus is number0 km / hr and including the stoppages the speed of the bus is number1 km / hr . for how many minutes does the bus stop per hour ?","-(60, *(/(number1, number0), 60))"
"a tank is filled by number0 pipes a , b , c in number1 hours . pipe c is twice as fast as b and b is twice as fast as a . how much will pipe a alone take to fill the tank ?","*(+(+(*(2, 2), 2), 1), number1)"
a car travels at a speed of number0 miles per hour . how far will it travel in number1 hours ?,"*(number0, number1)"
"angelina walked number0 meters from her home to the grocery at a constant speed . she then walked number1 meters to the gym at double the speed . she spent number2 seconds less on her way from the grocery to the gym than on her way from home to the grocery . what was angelina ' s speed , in meters per second , from the grocery to the gym ?","*(/(-(number0, /(number1, 2)), number2), 2)"
a train running at the speed of number0 km / hr crosses a pole in number1 seconds . find the length of the train ?,"*(/(*(number0, 1000), 3600), number1)"
a train number0 m long running at number1 kmph crosses a platform in number2 sec . what is the length of the platform ?,"-(*(number2, *(number1, 0.2778)), number0)"
"the length of a train and that of a platform are equal . if with a speed of number0 k / hr , the train crosses the platform in one minute , then the length of the train ( in meters ) is ?","/(/(*(number0, 1000), /(60, 1)), 2)"
"a man walks at a rate of number0 mph . after every ten miles , he rests for number1 minutes . how much time does he take to walk number2 miles ?","+(*(number1, 4), *(/(number2, number0), 60))"
"r is the set of positive odd integers less than number0 , and s is the set of the squares of the integers in r . how many elements does the intersection of r and s contain ?","-(-(number0, 4), 4)"
"a cistern can be filled by a tap in number0 hours while it can be emptied by another tap in number1 hours . if both the taps are opened simultaneously , then after how much time will the cistern get filled ?","/(1, -(/(1, number0), /(1, number1)))"
"a tank can supply water to a village for number0 days . if a leak at the bottom of the tank drains out number1 liters per day , the supply lasts for number2 days only . for how many days will the supply last if the leak drains out number3 liters per day ?","/(*(/(*(number1, number2), -(number0, number2)), number0), +(number3, /(*(number1, number2), -(number0, number2))))"
a number0 meter long train crosses a platform in number1 seconds while it crosses a signal pole in number2 seconds . what is the length of the platform ?,"-(*(/(number0, number2), number1), number0)"
"number0 persons can repair a road in number1 days , working number2 hours a day . in how many days will number3 persons , working number4 hours a day , complete the work ?","/(*(*(number0, number1), number2), *(number3, number4))"
the radius of a wheel is number0.number1 cm . what is the distance covered by the wheel in making number2 resolutions .,"/(*(*(*(/(+(*(+(3, 4), 3), 1), +(3, 4)), number0.number1), 2), number2), 100)"
"an outlet pipe empties a tank which is full in number0 hours . if the inlet pipe is kept open , which lets liquid in at the rate of number1 litres / min then outlet pipe would take number2 hours longer . find the capacity of the tank .","*(/(*(*(number1, 60), +(number0, number2)), number2), number0)"
"karen places a bet with tom that she will beat tom in a car race by number0 miles even if karen starts number0 minutes late . assuming that karen drives at an average speed of number1 mph and tom drives at an average speed of number2 mph , how many y miles will tom drive before karen wins the bet ?","-(/(+(*(/(number2, number1), number0), number0), -(/(number1, number1), /(number2, number1))), number0)"
a train number0 m long is running at a speed of number1 kmph . how long does it take to pass a man who is running at number2 kmph in the same direction as the train ?,"/(number0, *(-(number1, number2), 0.2778))"
a can do a particular work in number0 days . b can do the same work in number1 days . a and b signed to do it for rs . number2 . they completed the work in number3 days with the help of c . how much is to be paid to c ?,"*(*(number3, -(/(1, number3), +(/(1, number0), /(1, number1)))), number2)"
a taxi company charges $ number0.number1 for the first quarter of a mile and fifteen cents for each additional quarter of a mile . what is the maximum distance someone could travel with $ number2.number3 ?,"/(/(*(-(number2.number3, number0.number1), 100), 3), 4)"
"a can complete a project in number0 days and b can complete the same project in number1 days . if a and b start working on the project together and a quits number2 days before the project is completed , in how many days will the project be completed ?","+(/(-(1, *(/(1, number1), number2)), +(/(1, number0), /(1, number1))), number2)"
"number0 litres of diesel is required to travel number1 km using a number2 cc engine . if the volume of diesel required to cover a distance varies directly as the capacity of the engine , then how many litres of diesel is required to travel number2 km using number3 cc engine ?","*(number3, *(number2, /(number0, *(number2, number1))))"
"a bus trip of number0 miles would have taken number1 hour less if the average speed s for the trip had been greater by number2 miles per hour . what was the average speed s , in miles per hour , for the trip ?","/(-(√(+(*(*(number0, number2), 4), ^(number2, 2))), number2), 2)"
"i flew my tiny seaplane to visit my mother . on the flight up , i flew at number0 mph . on the way home , i flew number1 mph . what was my average speed for the trip ?","/(+(number0, number1), 2)"
"a man sitting in a train which is traveling at number0 kmph observes that a goods train , traveling in opposite direction , takes number1 seconds to pass him . if the goods train is number2 m long , find its speed","-(*(/(number2, number1), 3_6), number0)"
"maxwell leaves his home and walks toward brad ' s house . one hour later , brad leaves his home and runs toward maxwell ' s house . if the distance between their homes is number0 kilometers , maxwell ' s walking speed is number1 km / h , and brad ' s running speed is number2 km / h . what is the total time it takes maxwell before he meets up with brad ?","/(+(number0, number2), +(number1, number2))"
"train e and f , number0 miles apart , are traveling toward each other at constant rates and in the same time zone . if train e left at number1 pm traveling at a speed of number2 miles per hour , and train f left at number3 : number4 pm and traveling at number4 miles per hour , then at what time would they pass each other ?","/(+(/(number0, number2), /(number0, number4)), 2)"
a boat can travel with a speed of number0 km / hr in still water . if the speed of the stream is number1 km / hr . find the time taken by the boat to go number2 km downstream ?,"/(number2, +(number0, number1))"
"a train covers a distance of number0 km in number1 min . if it takes number1 sec to pass a telegraph post , then the length of the train is ?","/(number0, -(/(number0, number1), number1))"
"a man rows his boat number0 km downstream and number1 km upstream , taking number2 hours each time . find the speed of the stream ?","/(-(/(number0, number2), /(number1, number2)), 2)"
the length of a room is number0.number0 m and width is number1.number2 m . what is the cost of paying the floor by slabs at the rate of rs . number3 per sq . metre .,"*(number3, *(number0.number0, number1.number2))"
"excluding stoppages , the speed of a bus is number0 kmph and including stoppages , it is number1 kmph . for how many minutes does the bus stop per hour ?","*(60, /(-(number0, number1), number0))"
"the average wages of a worker during a fortnight comprising number0 consecutive working days was $ number1 per day . during the first number2 days , his average wages was $ number3 per day and the average wages during the last number2 days was $ number1 per day . what was his wage on the number4 th day ?","-(*(number1, number0), +(*(number3, number2), *(number1, number2)))"
a train number0 m long is running at a speed of number1 km / hr . in what time will it pass a bridge number2 m long ?,"/(number0, *(-(number1, number2), 0.2778))"
a train number0 meters long is running with a speed of number1 kmph . in what time will it pass a man who is running at number2 kmph in the direction opposite to that in which the train is going ?,"*(3600, /(/(number0, 1000), +(number1, number2)))"
murali travelled from city a to city b at a speed of number0 kmph and from city b to city c at number1 kmph . what is the average speed of murali from a to c given that the ratio of distances between a to b and b to c is number2 : number3 ? a . number4 kmph,"/(+(number0, number1), number3)"
two goods trains each number0 m long are running in opposite directions on parallel tracks . their speeds are number1 km / hr and number2 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,"+(number1, number2)"
"workers at a campaign office have number0 fliers to send out . if they send out number1 / number2 of them in the morning and number1 / number3 of the remaining ones out during the afternoon , how many are left for the next day ?","-(-(number0, /(number0, number2)), /(-(number0, /(number0, number2)), number3))"
"three pipes a , b and c can fill a tank from empty to full in number0 minutes , number0 minutes and number1 minutes respectively . when the tank is empty , all the three pipes are opened . a , b and c discharge chemical solutions p , q and r respectively . what is the proportion of solution q in the liquid in the tank after number2 minutes ?","*(/(number2, number1), /(1, *(number2, +(/(1, number1), +(/(1, number0), /(1, number0))))))"
a mobile battery in number0 hour charges to number1 percent . how much time ( in minute ) will it require more to charge to number2 percent .,"*(/(number2, number1), 60)"
two goods trains each number0 m long are running in opposite directions on parallel tracks . their speeds are number1 km / hr and number2 km / hr respectively . find the time taken by the slower train to pass the driver of the faster one ?,"+(number1, number2)"
